eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
110.63,2.6,2898,0.015594418,0.20406087,2.0506637,-0.02716408,0.18284059,0.5577991306781769,181,46336,1009.9296891642734,2965504
116.8,2.89,3017,0.013364547,0.18015544,2.0552483,-0.027409257,0.15122187,0.6629959344863892,182,46592,1015.3602184476331,2981888
105.27,2.2,2961,0.0151087865,0.20080566,2.068393,-0.028363058,0.15275614,0.5282413065433502,183,46848,1020.9371407683939,2998272
110.83,2.48,2937,0.01617744,0.22172038,2.0588696,-0.025407704,0.13748887,0.6156778633594513,184,47104,1026.5165181364864,3014656
110.72,2.07,3034,0.015768623,0.20562744,2.0523207,-0.028418804,0.12159834,0.6237030923366547,185,47360,1031.9580816524103,3031040
104.97,2.12,2924,0.016744927,0.21466064,2.004886,-0.025301918,0.13157514,0.6183137595653534,186,47616,1037.5608685910702,3047424
114.74,2.45,3030,0.015198115,0.20397949,2.0163984,-0.028177418,0.14992416,0.5739571154117584,187,47872,1043.0484624849632,3063808
109.4,2.61,2999,0.014848723,0.19940186,2.0109923,-0.025808131,0.15776058,0.6177756488323212,188,48128,1048.5122500536963,3080192
112.03,3.01,3034,0.015906274,0.2084961,2.031392,-0.026980126,0.15727143,0.6053577065467834,189,48384,1053.9557503992692,3096576
118.39,2.98,2960,0.014699408,0.19158936,1.9946136,-0.026186878,0.15655833,0.5839443206787109,190,48640,1059.4910423429683,3112960
108.46,2.64,2945,0.017739067,0.22682698,1.9639844,-0.02643265,0.15793756,0.5875109434127808,191,48896,1065.0969860544428,3129344
127.4,3.14,2997,0.01744114,0.22143555,1.978743,-0.029843757,0.165238,0.5660282671451569,192,49152,1070.5642466219142,3145728
111.59,2.87,2955,0.016898084,0.21732585,1.9783143,-0.02879368,0.16071658,0.6055345833301544,193,49408,1076.149171388708,3162112
113.32,2.63,2905,0.016464466,0.21557617,1.9920068,-0.024061343,0.1516907,0.6444534361362457,194,49664,1081.7894345028326,3178496
115.98,2.87,2942,0.016521646,0.20906575,1.998032,-0.027114013,0.1585453,0.6062200665473938,195,49920,1087.4066821243614,3194880
123.93,3.1,2997,0.015457857,0.19750977,1.9505186,-0.028668003,0.16892785,0.5884834825992584,196,50176,1092.8734349897131,3211264
103.61,2.42,2910,0.01666184,0.21643066,1.972458,-0.028211372,0.155704,0.6110806465148926,197,50432,1098.5522880572826,3227648
110.39,2.76,2926,0.016987285,0.21813965,1.9405221,-0.025693988,0.1700803,0.6112488508224487,198,50688,1104.1524614486843,3244032
